id	kind	boundary	owner	required_context	rule	ordering	lock_rule	evidence	failure	implementation_state
A37	implementation-blocker	base-v7.1.3-cpuhp-up-callback-auto-rollback-to-off	linux-hotplug-core	CONFIG_HOTPLUG_CPU=y;can_rollback_cpu=true;post-CPU_ON-cpuhp_up_callbacks-failure;live-token-operation=cpu8-up-or-cpu9-up	forbid-generic-auto-rollback-crossing-CPUHP_TEARDOWN_CPU-takedown_cpu-cpu_die-CPU_OFF-cpu_kill-under-up-token-without-A01-A02-off-admission;closure-requires-all-selected-post-CPU_ON-failure-paths-proven-nonfailing-and-fallible-validation-after-full-generic-bringup-or-reviewed-core-A72-no-auto-teardown-propagation-interface-or-reviewed-MT6797-target-cpu_die-and-controller-cpu_kill-up-token-guards-that-route-P32-terminal-FAULT-without-CPU_OFF-or-affinity-and-accept-A30-online-mask-divergence-reset-only	before-P17-P18-or-any-CPU_ON-and-through-full-startup-rollback-window	canonical-CPUHP-lock-order;no-transition-lock-reentry-from-callback	pinned-linux-7.1.3-can_rollback_cpu-and-cpuhp_up_callbacks-rollback-source;complete-selected-callback-inventory-required	boot-veto-remains;unguarded-generic-auto-rollback-is-terminal-unknown-not-P16-or-P19-retained-state;guarded-path-is-P32-A30-FAULT-with-members-provider-conservative-cpu_online_mask-may-diverge-and-platform-or-external-reset-only;no-CPU_OFF-or-affinity-under-up-token	contract-only-blocked
A38	attempt-ledger	boot-local-operation-attempt-ledger	linux-a72-transition-coordinator	four-bits=cpu8-up-cpu9-up-cpu9-off-last-cpu8-off;initialized-only-by-A34	P31-atomically-consumes-the-exact-operation-attempt-before-generic-A28-state-mapping-checks-and-before-token-allocation;P01-P04-require-the-same-request-P31-attestation-and-do-not-consume-again;up-operation-specific-A36-predecessor-checks-run-after-P01-P02-token-and-FROZEN-before-P17-P18;P05-P06-P11-never-rearm;same-operation-cannot-allocate-new-generation;only-A34-platform-or-external-reset-bootstrap-reinitializes-including-IDLE-with-consumed-P31-attempt	P31-before-generic-A28-before-P01-P04-token-and-FROZEN;then-A36-for-up-before-P17-P18;attempt-remains-consumed-through-CONSUMED-to-IDLE	protected-by-short-a72_state_lock-inside-transition-owner-serialization;never-held-across-A36-register-readback	2026-08-02-CPU8-one-shot-2026-08-03-CPU9-one-shot-and-safe-off-nonrearmable-contracts	reject-consumed-operation-without-token-provider-cpuhp-or-hardware-effect;generic-A28-mismatch-leaves-IDLE-with-attempt-consumed;A36-mismatch-uses-P05-P06-with-attempt-consumed	contract-only-blocked
A39	implementation-blocker	base-v7.1.3-arm64-early-secondary-capability-and-controller-status-paths	linux-arm64-secondary-and-controller-core	live-up-token;after-P24-CPU_ON-before-P14-and-A37;secondary_start_kernel-check_local_cpu_capabilities;controller-__cpu_up-status-inventory	inventory-and-close-cpu_die_early-which-bypasses-cpu_can_disable-and-optional-cpu_disable-clears-cpu_present-reports-RCU-death-publishes-CPU_KILL_ME-and-directly-calls-ops-cpu_die;CPU_KILL_ME-requires-target-custom-cpu_die-up-token-guard-CAS-P30-FAULT-and-park-without-CPU_OFF-plus-separate-controller-custom-cpu_kill-up-token-fault-guard-return-without-affinity;CPU_PANIC_KERNEL-target-park-plus-controller-panic-requires-impossibility-proof-or-reviewed-core-change;pre-C-CPU_STUCK_IN_KERNEL-for-52-bit-VA-or-unsupported-page-granule-and-unknown-default-timeout-each-require-impossibility-proof-or-controller-P30-interception-without-kill-or-affinity	before-P24-CPU_ON-and-through-P14-secondary-completion	canonical-early-boot-locking;no-transition-lock-reentry-on-secondary	pinned-linux-7.1.3-cpufeature.c-smp.c-and-kernel-cpu.c-source;complete-selected-capability-and-status-inventory-required	boot-veto-remains;cpu_die_early-present-divergence-is-P30-terminal-and-A28-denies-future-entry;no-runtime-retry-CPU_OFF-or-query-under-up-token	contract-only-blocked
A40	implementation-blocker	firmware-private-branch-proof-freshness-from-A31-P26-through-P20	linux-a72-transition-coordinator-and-private-ledger-owner	exact-off-operation-target-generation;A31-owner-safe-private-entry-proof-and-P26-attestation=pass;P20-not-yet-armed	require-complete-source-and-runtime-private-big_on-writer-caller-inventory-and-exclude-every-other-CPU_ON-CPU_OFF-AFFINITY_INFO-and-private-ledger-writer-under-transition-policy-freeze-continuously-through-P20-or-perform-owner-safe-serialized-exact-branch-revalidation-immediately-before-P20-only-through-a-non-SMC-reader-or-after-independent-A29-equivalent-concurrent-SMC-lock-deadlock-proof;C02-L02-policy-writer-drain-alone-is-insufficient;block-query-on-stale-uninventoried-or-concurrency-unsafe-proof	after-A31-before-A01-and-continuously-through-A27-P07-to-atomic-P20;alternative-safe-revalidation-is-immediately-before-P20-budget-consumption	private-ledger-owner-serialization-must-not-hold-a72_state_lock-across-smc;secure-revalidation-requires-independent-A29-equivalent-concurrency-proof	secure-source-attribution-and-safe-off-C02-C05-L02-L05;complete-private-writer-caller-inventory-owner-safe-serialization-and-non-SMC-or-concurrency-safe-reader-unresolved	implementation-blocked;P05-before-effects-or-P23-after-any-executed-or-uncertain-pre-P07-effect-or-P22-after-OFF_COMMITTED;no-affinity-call-or-membership-commit	contract-only-blocked
L01	compatibility-lock-order	public-equivalent-gemian-hps_ctxt.lock	mediatek-hps-evidence-lane	natural-HPS-request-path	outermost-on-natural-HPS-path;never-reacquire	gemian-order=1	acquire-before-a72_transition_lock	separate-gemian-source-and-lockdep-proof	reject-path-before-hardware	contract-only-blocked
L02	compatibility-lock-order	public-equivalent-gemian-a72_transition_lock	linux-a72-transition-coordinator	sleepable-transaction-owner	serialize-A72-transactions	gemian-order=2	after-hps_ctxt.lock;before-cpu_add_remove_lock	separate-gemian-source-and-lockdep-proof	reject-path-before-hardware	contract-only-blocked
L03	compatibility-lock-order	public-equivalent-gemian-cpu_add_remove_lock	linux-hotplug-evidence-lane	public-cpu_down-admission-already-passed	serialize-public-CPU-add-remove	gemian-order=3	after-a72_transition_lock;before-cpu_hotplug.lock	separate-gemian-source-and-lockdep-proof	reject-path-before-cpu-off	contract-only-blocked
L04	compatibility-lock-order	public-equivalent-gemian-cpu_hotplug.lock	linux-hotplug-evidence-lane	legacy-_cpu_down-admission-already-passed	serialize-legacy-hotplug-state	gemian-order=4	after-cpu_add_remove_lock;before-cpufreq_mutex	separate-gemian-source-and-lockdep-proof	reject-path-before-cpu-off	contract-only-blocked
L05	compatibility-lock-order	public-equivalent-gemian-cpufreq_mutex	mediatek-cpufreq-evidence-lane	cpuhvfs-token-check-already-passed	serialize-cpufreq-policy-state	gemian-order=5	after-cpu_hotplug.lock;before-dvfs_lock	separate-gemian-source-and-lockdep-proof	pre-hardware-REJECTED-or-post-off-FAULT	contract-only-blocked
L06	compatibility-lock-order	public-equivalent-gemian-dvfs_lock	mediatek-cpuhvfs-evidence-lane	cpuhvfs-token-check-already-passed	serialize-CPUHVFS-state	gemian-order=6	after-cpufreq_mutex;innermost-vendor-policy-lock	separate-gemian-source-and-lockdep-proof	pre-hardware-REJECTED-or-post-off-FAULT	contract-only-blocked
L07	lock-order	a72_state_lock	linux-a72-transition-coordinator	bounded-scalar-ledger-update-only	leaf-spinlock;never-held-across-sleep-callback-notifier-smc-regulator-readback-or-delay	not-part-of-sleepable-nesting-chain	acquire-and-release-inside-current-owner-critical-section	lockdep-and-static-no-sleep-proof	phase=FAULT-if-post-off-state-uncertain	contract-only-blocked
L08	compatibility-lock-branch	public-equivalent-gemian-hps_ctxt.para_lock	mediatek-hps-evidence-lane	optional-parameter-update-only	short-sibling-branch;release-before-public-cpu_up-or-cpu_down	outside-linear-hotplug-chain	hps_ctxt.lock->a72_transition_lock->hps_ctxt.para_lock-then-release	separate-gemian-source-and-lockdep-proof	reject-path-before-hardware	contract-only-blocked
L09	canonical-lock-order	base-v7.1.3-a72_transition_lock	linux-a72-transition-coordinator	sleepable-transaction-owner	serialize-A72-transactions	canonical-order=1	before-cpu_add_remove_lock	pinned-linux-7.1.3-integration-contract	reject-path-before-hardware	contract-only-blocked
L10	canonical-lock-order	base-v7.1.3-cpu_add_remove_lock	linux-hotplug-core	public-cpu_up-or-cpu_down-admission-already-passed	serialize-public-CPU-map-update	canonical-order=2	after-a72_transition_lock;before-cpu_hotplug_lock-via-cpus_write_lock	pinned-linux-7.1.3-kernel-cpu.c-source	reject-path-before-cpu-on-or-cpu-off	contract-only-blocked
L11	canonical-lock-order	base-v7.1.3-cpu_hotplug_lock-via-cpus_write_lock	linux-hotplug-core	early-_cpu_up-or-_cpu_down-admission-already-passed	serialize-canonical-cpuhp-state	canonical-order=3	after-cpu_add_remove_lock;before-cpuhp-callbacks	pinned-linux-7.1.3-kernel-cpu.c-source	pre-effect-REJECTED-or-post-effect-FAULT	contract-only-blocked
